0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.99782,0.93919,0.94825,0.98405,0.99687,0.90143,0.99715,0.99709,0.92781,0.99391,1.0,0.98763,0.9976,0.95599,0.97834,0.99595,0.96443,0.99754,0.9927,0.93529,0.99056,0.98354,0.99783,0.99757,0.99723,0.9974,0.9686,0.99791,0.9974,0.9321,0.99798,0.93789,0.99616,0.96301,0.99759,0.99673,0.99781,0.9677,0.97243,0.99155,0.99751,0.91126,0.95456,0.99388,0.9263,0.92253,0.95488,0.95237,0.97145,0.99753,0.95293,0.95821,0.99534,0.98843,0.90134,0.99834,0.99618,0.90767,0.99796,0.99674,0.96721,0.99542,0.97144,0.88019,0.99719,0.93746,0.99662,0.93772,0.92908,0.9895,0.98755,0.9951,0.9975,0.88428,0.96689,0.98831,0.99731,0.93922,0.99563,0.99585
0.98536,0.91134,0.95113,0.98686,0.98584,0.87064,0.977,0.98238,0.91318,0.97564,0.98763,1.0,0.97892,0.93529,0.97443,0.97989,0.95475,0.97929,0.98478,0.92746,0.98361,0.97841,0.97971,0.98349,0.98283,0.97991,0.96545,0.98363,0.97881,0.92613,0.98478,0.91582,0.98028,0.94775,0.98645,0.97747,0.97984,0.96829,0.97103,0.99132,0.98347,0.90887,0.93892,0.98436,0.92937,0.92239,0.94521,0.94539,0.96104,0.97972,0.94239,0.95409,0.98187,0.97275,0.89835,0.98761,0.98519,0.90399,0.98351,0.98622,0.95139,0.99371,0.96766,0.8714,0.98126,0.91778,0.97698,0.93483,0.92626,0.98226,0.97589,0.98531,0.97912,0.88103,0.9519,0.98148,0.98101,0.93505,0.98487,0.98303
0.99794,0.94256,0.94206,0.97631,0.99423,0.9045,0.99955,0.99785,0.92345,0.99562,0.9976,0.97892,1.0,0.95207,0.97142,0.99575,0.9594,0.99996,0.98965,0.92588,0.98745,0.97601,0.99995,0.99892,0.9986,0.9997,0.96027,0.99817,0.99996,0.92797,0.99831,0.93486,0.99768,0.96327,0.99614,0.99902,0.99882,0.95972,0.96506,0.98591,0.99718,0.90467,0.95022,0.99102,0.92125,0.91725,0.94636,0.94902,0.96447,0.99951,0.94592,0.95388,0.99402,0.98531,0.89812,0.99775,0.99442,0.90218,0.99874,0.99527,0.96234,0.99168,0.96423,0.87832,0.99833,0.93478,0.99838,0.92865,0.9238,0.98667,0.98467,0.9929,0.9994,0.88256,0.96458,0.98128,0.99932,0.93465,0.99445,0.9946
0.95261,0.98135,0.95911,0.96394,0.95679,0.96419,0.95746,0.95903,0.97594,0.96753,0.95599,0.93529,0.95207,1.0,0.98036,0.9672,0.98885,0.95091,0.95541,0.97005,0.96279,0.97614,0.95378,0.94663,0.95257,0.95028,0.98,0.94995,0.95152,0.95819,0.95211,0.99664,0.95342,0.97595,0.95104,0.96056,0.9581,0.9739,0.96912,0.95506,0.96013,0.94234,0.98983,0.95671,0.94321,0.94807,0.98542,0.971,0.9786,0.95723,0.98387,0.97276,0.97023,0.98126,0.9418,0.9524,0.95714,0.94743,0.95576,0.95684,0.98887,0.94636,0.97981,0.92741,0.95978,0.98616,0.96306,0.95972,0.95363,0.95596,0.97449,0.95514,0.95605,0.91824,0.98944,0.97395,0.9518,0.97114,0.95906,0.9664
0.97731,0.96063,0.97612,0.99096,0.98283,0.9287,0.97323,0.98081,0.9609,0.98012,0.97834,0.97443,0.97142,0.98036,1.0,0.98122,0.98767,0.97112,0.98147,0.97016,0.98722,0.99461,0.973,0.9721,0.97562,0.97169,0.98817,0.97502,0.97115,0.96256,0.97643,0.97293,0.97629,0.981,0.97937,0.97604,0.97548,0.99451,0.9873,0.9842,0.97949,0.94905,0.97835,0.98197,0.95775,0.95198,0.98716,0.98111,0.98509,0.97515,0.98174,0.98125,0.98457,0.99031,0.93767,0.97821,0.98052,0.94782,0.97843,0.98078,0.99084,0.97974,0.99017,0.91445,0.97957,0.96922,0.97795,0.96865,0.9597,0.98311,0.99172,0.9806,0.97488,0.92219,0.98956,0.98919,0.97422,0.97232,0.98219,0.98306
0.99659,0.95645,0.95737,0.98476,0.99383,0.92785,0.99745,0.99713,0.94548,0.99818,0.99595,0.97989,0.99575,0.9672,0.98122,1.0,0.97562,0.99537,0.99364,0.94371,0.99239,0.98525,0.99645,0.99458,0.99635,0.99524,0.97596,0.99329,0.99567,0.94362,0.99642,0.95309,0.99557,0.97326,0.99356,0.99832,0.99843,0.97145,0.976,0.99107,0.99887,0.92117,0.96715,0.99473,0.93662,0.93802,0.96032,0.96581,0.97903,0.99771,0.96371,0.96973,0.99902,0.99237,0.92014,0.996,0.99657,0.92087,0.99711,0.99706,0.97419,0.99166,0.97824,0.90255,0.99833,0.95398,0.99861,0.94407,0.942,0.99172,0.99046,0.99553,0.99766,0.90206,0.97776,0.98966,0.99608,0.95208,0.9968,0.99918
0.96431,0.977,0.9851,0.98478,0.96592,0.95895,0.96416,0.96869,0.98884,0.97513,0.96443,0.95475,0.9594,0.98885,0.98767,0.97562,1.0,0.95838,0.97188,0.9812,0.97855,0.9895,0.96132,0.95632,0.96239,0.95787,0.99438,0.95821,0.95885,0.98436,0.96328,0.98519,0.96178,0.97532,0.96004,0.96769,0.96605,0.98929,0.98764,0.97237,0.9704,0.97129,0.98916,0.97186,0.97542,0.97801,0.98901,0.98773,0.99126,0.96487,0.99359,0.9867,0.97959,0.98427,0.96925,0.9638,0.97081,0.97489,0.96558,0.97024,0.98989,0.96137,0.99156,0.95845,0.96794,0.99226,0.96962,0.98164,0.98304,0.97386,0.98331,0.96977,0.96423,0.95499,0.99008,0.98603,0.96023,0.98692,0.97229,0.97671
0.998,0.94208,0.94172,0.97601,0.99434,0.90274,0.99938,0.9979,0.92208,0.99535,0.99754,0.97929,0.99996,0.95091,0.97112,0.99537,0.95838,1.0,0.98954,0.92463,0.9874,0.9755,0.99988,0.99918,0.9987,0.99984,0.95957,0.99842,0.99996,0.92712,0.99835,0.93376,0.99788,0.96284,0.99641,0.99882,0.9987,0.95925,0.96467,0.98597,0.997,0.90345,0.94939,0.99087,0.92083,0.91653,0.94531,0.94868,0.96314,0.99942,0.9448,0.95383,0.9936,0.98488,0.8974,0.99781,0.99427,0.90102,0.99878,0.99519,0.9615,0.992,0.96373,0.87701,0.99827,0.93338,0.99807,0.92752,0.92293,0.98661,0.98458,0.9928,0.9993,0.88188,0.96417,0.98062,0.99945,0.93436,0.9944,0.99427
0.99507,0.94233,0.96317,0.99013,0.99602,0.90381,0.99073,0.99426,0.94167,0.99139,0.9927,0.98478,0.98965,0.95541,0.98147,0.99364,0.97188,0.98954,1.0,0.95144,0.99789,0.98937,0.99033,0.99159,0.99136,0.99012,0.98009,0.9915,0.98943,0.94915,0.99428,0.94085,0.99133,0.95923,0.9934,0.99134,0.99303,0.97377,0.98603,0.99599,0.99619,0.92844,0.96348,0.99977,0.94366,0.94441,0.9612,0.97073,0.97863,0.99194,0.96697,0.97164,0.99534,0.99114,0.92382,0.99465,0.99911,0.92586,0.99379,0.99859,0.97101,0.99546,0.98339,0.90374,0.99385,0.94478,0.99119,0.95297,0.94847,0.99925,0.99326,0.99958,0.99245,0.90982,0.97168,0.99242,0.99091,0.9544,0.99847,0.99651
0.93213,0.94245,0.96507,0.96489,0.94571,0.91825,0.93074,0.93598,0.98058,0.93781,0.93529,0.92746,0.92588,0.97005,0.97016,0.94371,0.9812,0.92463,0.95144,1.0,0.95616,0.97909,0.92764,0.92223,0.92541,0.92384,0.98621,0.93027,0.92516,0.97779,0.93082,0.96941,0.92442,0.92808,0.93395,0.93309,0.93367,0.97506,0.98135,0.94937,0.94078,0.98124,0.97514,0.95182,0.95963,0.96581,0.99177,0.9709,0.98165,0.93068,0.99274,0.95899,0.95158,0.96889,0.95312,0.93229,0.9463,0.9755,0.93203,0.94339,0.98341,0.93355,0.98251,0.94408,0.93549,0.97338,0.93644,0.99464,0.97549,0.95236,0.96213,0.94641,0.93135,0.94372,0.96093,0.97262,0.92468,0.9683,0.94422,0.94801
0.99296,0.95358,0.97081,0.99199,0.99489,0.9153,0.98881,0.99434,0.95015,0.99154,0.99056,0.98361,0.98745,0.96279,0.98722,0.99239,0.97855,0.9874,0.99789,0.95616,1.0,0.99203,0.98834,0.98968,0.99,0.98832,0.98437,0.98991,0.98731,0.95713,0.99197,0.95086,0.99111,0.96793,0.99171,0.99006,0.99082,0.9795,0.98975,0.99568,0.99449,0.93597,0.97099,0.99751,0.95256,0.95233,0.96728,0.97839,0.98119,0.99029,0.97289,0.97968,0.995,0.99214,0.934,0.9935,0.99675,0.93497,0.99286,0.99651,0.97743,0.99412,0.98777,0.91327,0.99301,0.95392,0.99015,0.95799,0.95616,0.99853,0.99682,0.99714,0.9907,0.92054,0.98062,0.99279,0.98958,0.9637,0.99753,0.99526
0.98144,0.95446,0.97875,0.99567,0.98717,0.92314,0.97809,0.98345,0.96723,0.98174,0.98354,0.97841,0.97601,0.97614,0.99461,0.98525,0.9895,0.9755,0.98937,0.97909,0.99203,1.0,0.97728,0.97585,0.97777,0.97554,0.99485,0.97912,0.97549,0.971,0.98061,0.9658,0.9776,0.96633,0.98182,0.97964,0.98058,0.99247,0.99562,0.99047,0.98492,0.9599,0.97885,0.9896,0.96363,0.9616,0.98789,0.98044,0.99286,0.97909,0.98738,0.97935,0.9892,0.99241,0.94398,0.98221,0.98757,0.95649,0.98152,0.98669,0.98913,0.98364,0.9942,0.92567,0.98225,0.96905,0.98126,0.97998,0.96923,0.98934,0.99238,0.98763,0.97947,0.93064,0.98232,0.99756,0.97689,0.97222,0.98703,0.98789
0.9983,0.94393,0.94434,0.97779,0.99452,0.90674,0.99962,0.99822,0.92557,0.99629,0.99783,0.97971,0.99995,0.95378,0.973,0.99645,0.96132,0.99988,0.99033,0.92764,0.98834,0.97728,1.0,0.99892,0.99892,0.99963,0.96202,0.9981,0.9999,0.92987,0.99863,0.93675,0.99793,0.96508,0.99636,0.99929,0.99905,0.96165,0.96641,0.98685,0.99765,0.9066,0.95206,0.99164,0.92349,0.91961,0.94798,0.95115,0.96603,0.9997,0.94784,0.95595,0.99479,0.9862,0.90068,0.99806,0.99496,0.90444,0.99905,0.99582,0.96368,0.99221,0.96597,0.88086,0.9987,0.93691,0.99873,0.93033,0.92592,0.98753,0.98574,0.99346,0.99954,0.88491,0.96637,0.98236,0.99943,0.93685,0.99509,0.99539
0.99889,0.93843,0.94391,0.97817,0.99574,0.89535,0.998,0.99839,0.918,0.99444,0.99757,0.98349,0.99892,0.94663,0.9721,0.99458,0.95632,0.99918,0.99159,0.92223,0.98968,0.97585,0.99892,1.0,0.99908,0.99959,0.95984,0.99896,0.99902,0.92566,0.99898,0.9293,0.99869,0.9619,0.9979,0.99761,0.99804,0.96021,0.96626,0.98919,0.99724,0.90067,0.94773,0.99249,0.92207,0.91716,0.94267,0.95048,0.9606,0.9987,0.94304,0.95649,0.99319,0.98415,0.89726,0.99896,0.99537,0.89855,0.99922,0.99646,0.95893,0.99536,0.96483,0.87427,0.99831,0.92853,0.9966,0.92557,0.92227,0.98923,0.98607,0.99448,0.99862,0.88169,0.96395,0.98047,0.99956,0.93533,0.99591,0.99433
0.99932,0.9449,0.95045,0.98105,0.99434,0.90536,0.99818,0.99878,0.92468,0.99695,0.99723,0.98283,0.9986,0.95257,0.97562,0.99635,0.96239,0.9987,0.99136,0.92541,0.99,0.97777,0.99892,0.99908,1.0,0.99889,0.96307,0.9976,0.99861,0.93166,0.99943,0.93596,0.99891,0.96969,0.99699,0.99852,0.99836,0.96539,0.96738,0.989,0.99749,0.90666,0.95165,0.99224,0.92916,0.92336,0.9468,0.95585,0.9641,0.9991,0.94729,0.96187,0.99451,0.9855,0.90516,0.99866,0.99538,0.90623,0.99957,0.99666,0.96207,0.99442,0.96738,0.88333,0.99867,0.93718,0.99756,0.92924,0.92837,0.98966,0.98774,0.99427,0.99858,0.88971,0.9693,0.98156,0.9995,0.94206,0.99636,0.99562
0.99822,0.94253,0.94245,0.97624,0.99497,0.90147,0.99911,0.99833,0.92124,0.99523,0.9974,0.97991,0.9997,0.95028,0.97169,0.99524,0.95787,0.99984,0.99012,0.92384,0.98832,0.97554,0.99963,0.99959,0.99889,1.0,0.9598,0.99877,0.99977,0.92671,0.99846,0.93346,0.99853,0.96321,0.997,0.9986,0.99864,0.9594,0.96529,0.987,0.99721,0.90216,0.94981,0.99134,0.92123,0.91696,0.94452,0.94998,0.96206,0.99931,0.94448,0.95546,0.9936,0.98503,0.89781,0.9982,0.99453,0.90007,0.99906,0.99554,0.9613,0.99299,0.96435,0.87629,0.99854,0.93212,0.99779,0.92654,0.92275,0.9875,0.98551,0.9933,0.99928,0.88217,0.96509,0.98034,0.99971,0.93533,0.99499,0.99431
0.96753,0.96215,0.98558,0.99047,0.97342,0.93459,0.96439,0.97005,0.98106,0.97206,0.9686,0.96545,0.96027,0.98,0.98817,0.97596,0.99438,0.95957,0.98009,0.98621,0.98437,0.99485,0.96202,0.95984,0.96307,0.9598,1.0,0.96289,0.95985,0.98126,0.9662,0.97378,0.96298,0.96109,0.96613,0.96698,0.96794,0.98988,0.99625,0.9827,0.97388,0.96936,0.98609,0.97956,0.97446,0.97858,0.98822,0.98773,0.99197,0.96546,0.99369,0.98659,0.98126,0.98658,0.96457,0.96785,0.97666,0.97042,0.96736,0.97555,0.98705,0.97008,0.99671,0.94929,0.96955,0.97848,0.96862,0.98579,0.98183,0.98124,0.98577,0.97687,0.96554,0.94978,0.98321,0.99222,0.96159,0.98405,0.97661,0.97902
0.99786,0.93828,0.94548,0.97943,0.9973,0.89239,0.99696,0.99759,0.92151,0.99243,0.99791,0.98363,0.99817,0.94995,0.97502,0.99329,0.95821,0.99842,0.9915,0.93027,0.98991,0.97912,0.9981,0.99896,0.9976,0.99877,0.96289,1.0,0.99825,0.9299,0.99799,0.9329,0.99718,0.95992,0.99878,0.99629,0.99697,0.96359,0.96942,0.98922,0.99624,0.9078,0.95038,0.9926,0.92466,0.91908,0.94939,0.95187,0.96305,0.99748,0.94774,0.95647,0.99268,0.98642,0.89864,0.9984,0.995,0.90429,0.99828,0.99582,0.96406,0.99492,0.96771,0.87579,0.99718,0.93086,0.99551,0.9329,0.92577,0.98898,0.9877,0.99412,0.99755,0.88454,0.9647,0.98273,0.99832,0.93753,0.99513,0.99328
0.99785,0.94252,0.94166,0.97584,0.99423,0.90415,0.99949,0.99782,0.92294,0.99543,0.9974,0.97881,0.99996,0.95152,0.97115,0.99567,0.95885,0.99996,0.98943,0.92516,0.98731,0.97549,0.9999,0.99902,0.99861,0.99977,0.95985,0.99825,1.0,0.92737,0.99819,0.93449,0.99775,0.96313,0.99624,0.99898,0.99878,0.9593,0.96463,0.9859,0.99715,0.90388,0.94997,0.99082,0.9208,0.91694,0.94563,0.94895,0.96377,0.99946,0.94529,0.95383,0.99394,0.98512,0.89777,0.99776,0.99421,0.90145,0.99871,0.99513,0.96206,0.99172,0.96392,0.87776,0.9984,0.93399,0.99832,0.92788,0.92326,0.98648,0.98447,0.99273,0.99941,0.8822,0.96442,0.98074,0.9994,0.93435,0.99434,0.99447
