0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.94678,0.91641,0.95979,0.96531,0.99202,0.98374,0.99259,0.91061,0.99252,0.95094,1.0,0.98591,0.92737,0.96464,0.93269,0.84613,0.96447,1.0,0.88745,0.9094,0.89896,0.99185,0.82087,0.98554,0.98764,0.97511,0.87277,0.86474,0.86691,0.87743,0.94565,0.93622,0.87944,0.86277,0.82346,0.83774,0.98917,0.98035,0.82202,0.90681,0.85411,0.89541,0.80515,0.92357,0.92348,0.9219,0.96938,0.99184,0.99442,0.91633
0.9174,0.88851,0.9426,0.95215,0.98023,0.97239,0.98273,0.88355,0.98003,0.93611,0.98591,1.0,0.90779,0.95761,0.90341,0.82214,0.95546,0.98591,0.86222,0.88496,0.87649,0.98387,0.80808,0.97838,0.98945,0.95643,0.84394,0.83858,0.82773,0.8467,0.92394,0.92222,0.85741,0.83417,0.79041,0.80724,0.9722,0.99163,0.79817,0.88017,0.82566,0.87117,0.77071,0.90926,0.89557,0.90222,0.95738,0.99418,0.98599,0.89457
0.98321,0.98267,0.98576,0.97008,0.95523,0.96949,0.95635,0.98426,0.94128,0.99215,0.92737,0.90779,1.0,0.97538,0.99088,0.97564,0.98536,0.92737,0.98077,0.99125,0.98271,0.8848,0.94174,0.96001,0.9256,0.97923,0.98055,0.98613,0.97051,0.98474,0.99242,0.99055,0.98294,0.98155,0.96595,0.97044,0.96282,0.9464,0.96627,0.99333,0.98038,0.99146,0.95342,0.99251,0.99292,0.98847,0.97996,0.91666,0.94883,0.98468
0.95846,0.94629,0.97835,0.98889,0.97643,0.9839,0.98678,0.96077,0.96677,0.98129,0.96464,0.95761,0.97538,1.0,0.96658,0.92014,0.99343,0.96464,0.94045,0.96465,0.94863,0.93841,0.91018,0.98775,0.96465,0.9804,0.93875,0.94253,0.92505,0.94871,0.97343,0.98678,0.95144,0.93073,0.9012,0.911,0.97347,0.97965,0.90263,0.9601,0.92678,0.95527,0.88003,0.97026,0.96006,0.95974,0.97934,0.96054,0.97354,0.952
0.98819,0.99483,0.98429,0.96464,0.9572,0.96831,0.9554,0.99289,0.9506,0.98648,0.93269,0.90341,0.99088,0.96658,1.0,0.97186,0.9778,0.93269,0.98492,0.99016,0.98874,0.88836,0.91691,0.95336,0.93253,0.98015,0.97587,0.97903,0.96953,0.97223,0.99334,0.97571,0.97563,0.97986,0.9676,0.96665,0.96951,0.93867,0.96482,0.98368,0.97605,0.98983,0.95766,0.99149,0.99098,0.99337,0.98045,0.91991,0.95167,0.99297
0.95409,0.97508,0.94966,0.90255,0.88345,0.90276,0.88758,0.96475,0.8669,0.95006,0.84613,0.82214,0.97564,0.92014,0.97186,1.0,0.93214,0.84613,0.9684,0.97637,0.98746,0.78231,0.91231,0.88662,0.84435,0.93618,0.992,0.98145,0.98243,0.98146,0.96719,0.95007,0.96804,0.99501,0.98813,0.99676,0.90346,0.87381,0.99213,0.98358,0.99626,0.99062,0.99181,0.977,0.97974,0.98183,0.94088,0.82928,0.87607,0.97455
0.97069,0.96094,0.98306,0.99273,0.98199,0.99272,0.98489,0.97113,0.97287,0.9924,0.96447,0.95546,0.98536,0.99343,0.9778,0.93214,1.0,0.96447,0.95912,0.97598,0.95679,0.93868,0.93017,0.98791,0.96848,0.98265,0.94235,0.95533,0.92709,0.95338,0.9809,0.9926,0.96418,0.94102,0.91924,0.92082,0.97984,0.9805,0.92201,0.96698,0.94003,0.96449,0.8965,0.98045,0.97021,0.97009,0.98287,0.96305,0.979,0.96696
0.94678,0.91641,0.95979,0.96531,0.99202,0.98374,0.99259,0.91061,0.99252,0.95094,1.0,0.98591,0.92737,0.96464,0.93269,0.84613,0.96447,1.0,0.88745,0.9094,0.89896,0.99185,0.82087,0.98554,0.98764,0.97511,0.87277,0.86474,0.86691,0.87743,0.94565,0.93622,0.87944,0.86277,0.82346,0.83774,0.98917,0.98035,0.82202,0.90681,0.85411,0.89541,0.80515,0.92357,0.92348,0.9219,0.96938,0.99184,0.99442,0.91633
0.97363,0.98438,0.96826,0.94118,0.92143,0.94386,0.91523,0.98144,0.92143,0.96911,0.88745,0.86222,0.98077,0.94045,0.98492,0.9684,0.95912,0.88745,1.0,0.98825,0.97857,0.83757,0.94663,0.91744,0.89932,0.94912,0.96652,0.98084,0.95607,0.96967,0.9766,0.96061,0.98514,0.97469,0.9794,0.9624,0.93593,0.90834,0.97687,0.97239,0.97805,0.98185,0.95876,0.98741,0.97929,0.97778,0.95637,0.87893,0.91422,0.99094
0.97538,0.98084,0.97693,0.95656,0.93443,0.95624,0.9406,0.98154,0.93102,0.97743,0.9094,0.88496,0.99125,0.96465,0.99016,0.97637,0.97598,0.9094,0.98825,1.0,0.98283,0.86088,0.95065,0.93752,0.91035,0.96394,0.97917,0.98351,0.96729,0.98554,0.98287,0.98148,0.99067,0.97961,0.97666,0.96923,0.94704,0.92586,0.97665,0.98746,0.98343,0.99181,0.9582,0.99346,0.98472,0.98323,0.96728,0.89628,0.92969,0.98825
