0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.98005,0.97467,0.90793,0.99117,0.98229,0.85982,0.98099,0.9513,0.99655,0.9713,1.0,0.90122,0.92444,0.9776,0.89834,0.9105,0.98229,0.90935,0.98492,0.98128,0.94426,0.98269,0.88346,0.97989,0.93187,0.94248,0.93152,0.97926,0.97977,0.99208,0.99015,0.96623,0.96719,0.97963,0.99366,0.91892,0.91004,0.94816,0.97822,0.9804,0.86236,0.97744,0.94185,0.98107,0.97554,0.98938,0.97772,0.98761,0.953,0.85,0.97153,0.98692,0.99188,0.99147,0.98088,0.98641,0.99316,0.96842,0.96972,0.94022,0.89616,0.96459,0.97918,0.98889,0.99266,0.93771,0.99017,0.96914,0.98018,0.97481,0.93649,0.9921,0.9542,0.91675,0.97502,0.97792,0.97269,0.98999,0.98781,0.97841
0.85,0.96855,0.99623,0.93173,0.8709,0.99328,0.86533,0.98364,0.92194,0.95135,0.90122,1.0,0.99684,0.85,0.99916,0.97945,0.95534,0.99753,0.94913,0.91291,0.98692,0.91758,0.99688,0.96633,0.98597,0.98943,0.99388,0.85,0.95347,0.86485,0.88909,0.97733,0.97712,0.94983,0.88557,0.99813,0.99731,0.96332,0.96702,0.95419,0.98822,0.96515,0.98384,0.85,0.96664,0.87868,0.95585,0.87466,0.93331,0.98363,0.94085,0.94364,0.88607,0.92626,0.96322,0.85639,0.91087,0.96999,0.85,0.99026,0.99196,0.93213,0.92697,0.90265,0.89446,0.99247,0.90371,0.85,0.85,0.85,0.99167,0.87475,0.97763,0.98931,0.85,0.95284,0.96677,0.90002,0.93937,0.96146
0.86857,0.97895,0.99668,0.94977,0.89551,0.98759,0.88616,0.99241,0.94239,0.9653,0.92444,0.99684,1.0,0.86054,0.99702,0.9764,0.97227,0.99709,0.96296,0.93338,0.98954,0.94166,0.99252,0.97928,0.99298,0.99462,0.998,0.859,0.96738,0.89471,0.91239,0.98581,0.98744,0.96404,0.90806,0.99928,0.99678,0.96557,0.9811,0.9663,0.98314,0.97882,0.9932,0.87516,0.97806,0.90202,0.97352,0.90264,0.94293,0.97594,0.95531,0.96255,0.91022,0.94875,0.97696,0.88459,0.93529,0.98396,0.85,0.99733,0.99172,0.94163,0.94735,0.93,0.919,0.99535,0.92252,0.85,0.86481,0.85,0.99751,0.90197,0.98984,0.99454,0.87381,0.96883,0.9813,0.92613,0.95803,0.97803
0.99025,0.93123,0.85,0.96359,0.98832,0.85,0.9782,0.89446,0.97085,0.94895,0.9776,0.85,0.86054,1.0,0.85,0.85,0.94792,0.85,0.94718,0.97479,0.88622,0.969,0.85,0.93907,0.87049,0.87929,0.87335,0.98654,0.9521,0.98952,0.98137,0.91938,0.91905,0.94951,0.98447,0.85365,0.85,0.89057,0.93426,0.94316,0.85,0.93689,0.88762,0.97661,0.93438,0.9792,0.9429,0.99135,0.92463,0.85,0.94919,0.96067,0.98434,0.971,0.93925,0.98829,0.98084,0.93141,0.98922,0.8793,0.85,0.92565,0.9479,0.97103,0.97822,0.88321,0.97478,0.99315,0.98401,0.99479,0.87784,0.99301,0.90758,0.85,0.96699,0.94704,0.9284,0.98239,0.96661,0.94155
0.85,0.96584,0.99563,0.92882,0.86765,0.99401,0.86177,0.9823,0.91876,0.95077,0.89834,0.99916,0.99702,0.85,1.0,0.97444,0.95399,0.99695,0.94601,0.91127,0.98377,0.91781,0.99686,0.96504,0.98577,0.98755,0.99468,0.85,0.9514,0.8635,0.88507,0.97472,0.97585,0.94656,0.88179,0.99801,0.99683,0.95747,0.96611,0.95082,0.98808,0.96312,0.98411,0.85,0.96429,0.87518,0.95571,0.87456,0.92798,0.98319,0.93868,0.94189,0.8837,0.92562,0.96082,0.85388,0.90919,0.97035,0.85,0.98971,0.99111,0.928,0.92633,0.90313,0.8931,0.99141,0.89934,0.85,0.85,0.85,0.99135,0.87297,0.9785,0.98969,0.85,0.95242,0.96656,0.89921,0.9381,0.96144
0.86344,0.9751,0.97665,0.94264,0.88067,0.96915,0.88544,0.96868,0.93225,0.93447,0.9105,0.97945,0.9764,0.85,0.97444,1.0,0.95071,0.98071,0.96424,0.90465,0.99078,0.9025,0.97673,0.95908,0.96532,0.98145,0.96919,0.85339,0.94753,0.8709,0.91283,0.97539,0.96559,0.96287,0.90492,0.97668,0.98076,0.98559,0.95543,0.9672,0.96684,0.96629,0.96675,0.86329,0.97027,0.899,0.94121,0.87262,0.94957,0.96414,0.94097,0.94483,0.89872,0.92732,0.96394,0.86569,0.91307,0.95281,0.85,0.97397,0.97261,0.94397,0.92511,0.89203,0.89672,0.98367,0.92374,0.85,0.85,0.85,0.97139,0.88016,0.95517,0.97046,0.86541,0.93765,0.95468,0.89884,0.93218,0.95187
0.95275,0.99195,0.95978,0.98629,0.96722,0.92663,0.9512,0.98507,0.9912,0.98958,0.98229,0.95534,0.97227,0.94792,0.95399,0.95071,1.0,0.95993,0.98823,0.98362,0.97895,0.98725,0.94011,0.99586,0.97373,0.97769,0.97664,0.9434,0.99448,0.96998,0.97497,0.99154,0.99034,0.99236,0.97372,0.96853,0.95905,0.96983,0.99457,0.98728,0.92397,0.99666,0.98152,0.94966,0.99499,0.96848,0.99603,0.96859,0.97029,0.90864,0.9875,0.99474,0.97323,0.98949,0.99713,0.9636,0.98772,0.99592,0.92616,0.98145,0.94865,0.96177,0.98286,0.98174,0.97753,0.97726,0.97397,0.93524,0.94674,0.9365,0.98112,0.97135,0.98857,0.96704,0.94175,0.99358,0.99358,0.98367,0.99387,0.99668
0.85,0.97375,0.9985,0.94129,0.87516,0.99192,0.8732,0.98553,0.92813,0.95193,0.90935,0.99753,0.99709,0.85,0.99695,0.98071,0.95993,1.0,0.95567,0.91601,0.98768,0.92787,0.99714,0.96983,0.9926,0.99373,0.99222,0.85,0.9565,0.87598,0.9011,0.97831,0.98013,0.95695,0.89275,0.99757,0.99929,0.96314,0.97225,0.95969,0.99128,0.96943,0.99051,0.85904,0.96837,0.88773,0.96323,0.88603,0.92916,0.98369,0.94006,0.95207,0.89646,0.93661,0.96774,0.86495,0.92145,0.97346,0.85,0.99314,0.993,0.93988,0.93821,0.91453,0.90411,0.99375,0.91219,0.85,0.85,0.85,0.99343,0.88458,0.98345,0.99278,0.86202,0.95823,0.97403,0.91122,0.94518,0.9681
0.95502,0.99549,0.95141,0.99574,0.96534,0.91915,0.96911,0.97608,0.99038,0.97742,0.98492,0.94913,0.96296,0.94718,0.94601,0.96424,0.98823,0.95567,1.0,0.97285,0.98197,0.97054,0.93807,0.99097,0.96164,0.97658,0.96465,0.95045,0.98757,0.96522,0.98184,0.98959,0.98672,0.99456,0.98123,0.95941,0.95562,0.97987,0.98899,0.99721,0.91882,0.99316,0.9693,0.95416,0.99282,0.97388,0.98134,0.96741,0.97303,0.89985,0.98078,0.99225,0.97671,0.99002,0.99272,0.95742,0.98335,0.9815,0.92634,0.97098,0.94126,0.97717,0.97505,0.97087,0.974,0.97661,0.98795,0.92975,0.95062,0.93735,0.96661,0.97172,0.97267,0.95391,0.95265,0.98005,0.98389,0.97484,0.98752,0.98795
0.97243,0.97014,0.91168,0.97885,0.9919,0.86897,0.97234,0.95536,0.98431,0.99143,0.98128,0.91291,0.93338,0.97479,0.91127,0.90465,0.98362,0.91601,0.97285,1.0,0.94908,0.98445,0.88917,0.97835,0.93145,0.94104,0.94627,0.96545,0.99184,0.97801,0.97462,0.97189,0.97011,0.9792,0.98415,0.93054,0.91198,0.93885,0.9756,0.97122,0.86115,0.97739,0.94324,0.95301,0.97579,0.9693,0.9767,0.98508,0.97168,0.85,0.99076,0.98486,0.97634,0.9844,0.97611,0.97344,0.98618,0.97861,0.95433,0.94396,0.89341,0.94579,0.95911,0.97678,0.97582,0.94815,0.97802,0.96141,0.96894,0.9633,0.94497,0.98764,0.96053,0.9173,0.94262,0.98088,0.96721,0.98344,0.99301,0.97676
